Demographics,All,Black,Hispanic,White,Asian,estimated,var_sample
CPS 4th grade population (CPS 2021-2022),22252,8275,10392,2501,1084,No,0
CPS 8th grade population (CPS 2021-2022),25465,9376,12500,2566,1023,No,0
CPS k-8 population (CPS 2021-2022),205654,76478,95809,23965,9402,No,0
CPS 9th grade population (CPS 2021-2022),25552,9285,12923,2306,1038,No,0
CPS 10th grade population (CPS 2021-2022),26053,9608,13039,2404,1002,No,0
CPS 11th grade population (CPS 2021-2022),26118,9535,12869,2623,1091,No,0
CPS 12th grade population (CPS 2021-2022),24694,8775,12397,2391,1131,No,0
CPS HS population (CPS 2021-2022),102417,37203,51228,9724,4262,No,0
Illinois HS Seniors (ISBE 2021-2022),139687,24193,39877,68100,7517,Yes,0
Illinois HS Graduates (ISBE 2020-2021),133178,20880,34946,69614,7738,Yes,0
All Highschool Students in Illinois (ISBE 2021-2022),572429,99141,163414,279068,30806,Yes,0
All College Students enrolled in Illinois (IBHE 2021-2022),233051,27966,51271,130509,23305,No,0
All Degrees conferred in Illinois (ISBE 2020-2021),61023,6102,11594,37224,6713,No,0
All People in Chicago (Census 2020),2662000,840000,779000,878000,165000,Yes(rounding),0
Illinois 18-24 Population (EMSI 2022),1151971,185882,261730,633474,70885,Yes,0
Chicago MSA 20-64 Demographics (EMSI 2022),5438637,905408,1212984,2888593,431652,No,0
2021 SAT takers in USA (College Board 2021),1323242,168454,352894,635486,167208,No,0
2021 SAT takers in CPS (CPS),22636,7850,11418,2278,1090,No,0
US 4th grade population (NCES 2020),3385000,550000,1020000,1619000,196000,Yes (rounding),0
US 8th grade population (NCES 2020),3674000,587000,1095000,1789000,203000,Yes (rounding),0
US Highschool Population (NCES 2020),14534000,2241000,4223000,7230000,840000,Yes (rounding),0
US Population (USA Census 2020),319440000,41580000,61380000,197010000,19470000,Yes (rounding),0
US 20-64 Population (EMSI 2022),185445419,25187271,34381798,113281506,12594844,No,0
US 18-24 year old population (NCES 2021),28727000,4207000,6923000,15908000,1689000,Yes(rounding),0
US Highschool Graduates (NCES 2021-2022),3189180,441620,885500,1650010,212050,Yes,0
Chicago MSA Degree Holders (EMSI 2021-2022),2954160,350308,255494,2007922,340436,No,0
USA Degree Holders (EMSI 2021-2022),92755068,8938595,7991992,67265010,8559471,No,0
CPS Highschool population (OCR 2017),112989,45062,53320,10045,4562,No,0
