Demographics,All,Black,Hispanic,White,Asian,estimated
CPS 4th grade population (CPS 2021-2022),22252,8275,10392,2501,1084,No
CPS 8th grade population (CPS 2021-2022),25465,9376,12500,2566,1023,No
CPS k-8 population (CPS 2021-2022),205654,76478,95809,23965,9402,No
CPS 9th grade population (CPS 2021-2022),25552,9285,12923,2306,1038,No
CPS 10th grade population (CPS 2021-2022),26053,9608,13039,2404,1002,No
CPS 11th grade population (CPS 2021-2022),26118,9535,12869,2623,1091,No
CPS 12th grade population (CPS 2021-2022),24694,8775,12397,2391,1131,No
CPS HS population (CPS 2021-2022),102417,37203,51228,9724,4262,No
Illinois HS Seniors (ISBE 2021-2022),139687,24193,39877,68100,7517,Yes
Illinois HS Graduates (ISBE 2020-2021),133178,20880,34946,69614,7738,Yes
All Highschool Students in Illinois (ISBE 2021-2022),572429,99141,163414,279068,30806,Yes
All College Students in Illinois (IBHE 2021-2022),233051,27966,51271,130509,23305,No
All College Students - ALL CS/Computing Degree Enrollment,230098,27773,50822,129070,22433,NA
All Degrees conferred in Illinois (ISBE 2020-2021),61023,6102,11594,37224,6713,No
All People in Chicago (Census 2020),2662000,840000,779000,878000,165000,Yes(rounding)
Illinois 18-24 Population (EMSI 2022),1151971,185882,261730,633474,70885,Yes
Chicago MSA 20-64 Demographics (EMSI 2022),5438637,905408,1212984,2888593,431652,No
2021 SAT takers in USA (College Board 2021),1323242,168454,352894,635486,167208,No
2021 SAT takers in CPS (CPS),22636,7850,11418,2278,1090,No
National NAEP 4th grader demographics (NAEP),141564,22590,42168,69276,7530,No
National NAEP 8th grader demographics (NAEP),137376,21465,38637,68688,8586,No
Chicago NAEP 4th grader demographics (NAEP 2019),1764,648,864,180,72,No
Chicago NAEP 8th grader demographics (NAEP 2019),1700,646,833,136,85,No
US 4th grade population (NCES 2020),3385000,550000,1020000,1619000,196000,Yes (rounding)
US 8th grade population (NCES 2020),3674000,587000,1095000,1789000,203000,Yes (rounding)
US Highschool Population (NCES 2020),14534000,2241000,4223000,7230000,840000,Yes (rounding)
US Population (USA Census 2020),319440000,41580000,61380000,197010000,19470000,Yes (rounding)
US 20-64 Population (EMSI 2022),185445419,25187271,34381798,113281506,12594844,No
US 18-24 year old population (NCES 2021),28727000,4207000,6923000,15908000,1689000,Yes(rounding)
US Highschool Graduates (NCES 2021-2022),3189180,441620,885500,1650010,212050,Yes
