Demographic,var_yr,All,Black,Hispanic,White,Asian,var_est,var_sample
4th graders with elementary schools offering CS USA (Amazon Survey),2021,0.0038,0.0026,0.0035,0.0036,0.0043,No,1
USA interest in CS 5th-8th grade (Amazon Survey),2021,0.0053,0.0051,0.0052,0.0054,0.0061,Yes,1
USA interest in CS 9th-12th grade (Amazon Survey),2021,0.0069,0.0067,0.0068,0.007,0.0079,Yes,1
USA HS offering  CS (Amazon Survey),2021,0.0078,0.0073,0.0076,0.0079,0.0089,No,1
Carnegie Mellon CS Enrollment Demographics (College Factual),2021,600,18,53,168,361,Yes,0
Stanford CS Enrollment Demographcis (Stanford Student Project),2021,698,43,66,265,324,Yes,0
Top Three Illinois universities CS 2021 Conferral (ISBE),2021,721,19,65,261,376,No,0
CPS SAT Exceeds in Math (ISBE report card),2021,1025,55,206,508,256,No,0
Top Three USA Universities CS conferral (EMSI),2021,1031,41,128,486,376,Yes,0
MIT CS Enrollment (EECS MIT Report),2021,1257,75,226,390,566,Yes,0
4th grade Advanced in Math (NAEP),2021,1429,166,416,500,347,YES,1
8th grade Advanced in math (NAEP),2021,1882,188,750,565,379,YES,1
Top Three USA Universities CS Enrollment (Collected individually from School's website),2021,2555,136,345,823,1251,Yes,0
Illinois CS/Computing Conferral (EMSI),2021,2769,223,423,1583,540,"Yes, but this data was not used see Row 14",0
CS/Computing conferral (IBHE),2021,2953,193,449,1439,872,No,0
Top Three Illinois universities CS 2022 Enrollment (ISBE),2021,3204,97,283,983,1841,No,0
Top Three USA Universities Conferral (IPEDS),2021,3487,231,561,1541,1154,No,0
MIT Enrollment (MIT website),2021,4156,336,702,1582,1536,No,0
Carnegie Mellon Enrollment (College Website),2021,4814,255,611,1661,2287,No,0
8th grade proficient in Math (NAEP),2021,5064,1219,2625,872,348,YES,1
CPS SAT Benchmark (ISBE),2021,5081,888,2170,1449,574,No,0
CPS SAT Meets and Exceeds in Math (ISBE report card),2021,5081,888,2170,1449,574,No,0
4th grade proficient in Math (NAEP),2021,5481,1324,2598,1125,434,YES,1
19-24 year olds in tech workforce (EMSI),2021,5518,385,412,3228,1493,Yes,0
AP CS Pass (P33 Excel),2021,5720,179,908,2868,1765,No,0
Stanford Enrollment (Stanford Website),2021,5963,535,1376,1911,2141,No,0
4th grade Below Basic in Math (NAEP),2021,6169,3227,2702,175,65,No,1
AP CS enrollment (P33 Excel),2021,7667,369,1463,3674,2161,No,1
3 year CS/Computing conferral (EMSI),2021,8490,539,1227,4478,2246,Yes,0
8th grade basic in math (NAEP),2021,9007,3563,4500,770,174,No,1
4th grade Basic in Math (NAEP),2021,9172,3558,4676,700,238,No,1
8th grade below basic in Math (NAEP),2021,9514,4407,4625,359,123,No,1
Top Three Illinois Universities 2021 Conferral (ISBE),2021,9763,677,1444,5293,2349,No,0
CS/Computing enrollment (IBHE),2021,11759,1066,2134,5264,3295,No,0
Top Three USA Universities Enrollment (IPEDS),2021,14933,1126,2689,5154,5964,Yes,0
CPS STEM Magnet HS Enrollment (CPS School directory),2021,15513,3282,10070,1318,843,No,0
K-8 STEM Magnet School Enrollment (CPS School Directory),2021,20717,10133,7539,1325,1354,No,0
Top 3 Highest Paying CS Jobs Chicago MSA (EMSI),2021,21858,1457,1659,14664,4078,No,0
USA AP CS scored 3 or 4  (P33 Excel),2021,25637,559,2447,11498,11133,NO,0
Top Three Illinois Universities 2022 Enrollment (ISBE),2021,40403,3059,7078,19643,10623,No,0
USA AP CS scored 5  (P33 Excel),2021,88387,4491,14050,43220,26626,No,0
USA CS/Computing Conferral (EMSI),2021,107967,8779,12080,53788,19466,Yes,0
USA AP CS Pass (P33 Excel),2021,114024,5050,16497,54718,37759,No,0
Employee Demographics (EMSI),2021,123681,8621,9226,72374,33460,No,0
Illinois HS Graduates (ISBE),2021,133178,20880,34946,69614,7738,No,0
USA 19-24 Employee Demographics (EMSI),2021,176364,12939,12629,106699,44097,Yes,0
USA AP CS Enroll (P33 Excel),2021,179188,10163,28208,76508,46600,No,0
USA SAT Exceeds (College Board),2021,234000,8423,24703,101678,78588,Yes,0
USA 3 year CS degree Conferral (EMSI),2021,307073,37558,41827,180234,47454,Yes,0
USA 4th grade math advanced (NAEP),2021,319000,12000,33000,216000,58000,No,1
USA 8th grade math advanced (NAEP),2021,344200,11200,33000,234000,66000,No,1
USA SAT Math bench mark and above (College Board),2021,658332,38744,105868,374937,138783,Yes,0
Top 3 highest Paying CS Jobs USA (EMSI),2021,678685,48317,50868,451767,127733,No,0
USA High paying Tech Jobs Demographics (EMSI),2021,678685,48317,50868,451767,127733,No,0
USA Universities CS Enrollment (EMSI Estimate),2021,700000,57000,78000,350000,215000,Yes,0
USA 8th grade math proficient and above (NAEP),2021,1183800,72800,209000,774000,128000,No,1
USA 4th grade math Proficient and above (NAEP),2021,1504000,120000,308000,936000,140000,No,1
USA Degree Conferral (NCES),2021,2039431,197444,302615,1183959,157062,No,0
aged 5-17 Number of students without internet access (NCES),2019,2288743,517275,905832,830272,35364,NO,0
USA Employment Demographics for 11 top tech jobs (EMSI),2021,5049583,401798,401158,3117300,1129327,No,0
USA Universities Enrollment (IPEDS),2021,13934822,1901153,3220694,7751815,1061160,No,0
