"var_yr","var_scope","var_grade","var_key","var_schoolType","var_ethnic","population","var_type","metrics_new"
2021,"usa","k8_4th","cs_classOffered","allSchools","all","0.0038","prob","usa___2021___k8_4th___cs_classOffered___allSchools___all"
2021,"usa","k8_4th","cs_classOffered","allSchools","black_hispanic","0.0061","prob","usa___2021___k8_4th___cs_classOffered___allSchools___black_hispanic"
2021,"usa","k8_4th","cs_classOffered","allSchools","white_asian","0.0079","prob","usa___2021___k8_4th___cs_classOffered___allSchools___white_asian"
2021,"usa","k8_4th","cs_classOffered","allSchools","black","0.0026","prob","usa___2021___k8_4th___cs_classOffered___allSchools___black"
2021,"usa","k8_4th","cs_classOffered","allSchools","hispanic","0.0035","prob","usa___2021___k8_4th___cs_classOffered___allSchools___hispanic"
2021,"usa","k8_4th","cs_classOffered","allSchools","white","0.0036","prob","usa___2021___k8_4th___cs_classOffered___allSchools___white"
2021,"usa","k8_4th","cs_classOffered","allSchools","asian","0.0043","prob","usa___2021___k8_4th___cs_classOffered___allSchools___asian"
2021,"usa","k8_5to8th","cs_interested","allSchools","all","0.0053","prob","usa___2021___k8_5to8th___cs_interested___allSchools___all"
2021,"usa","k8_5to8th","cs_interested","allSchools","black_hispanic","0.0103","prob","usa___2021___k8_5to8th___cs_interested___allSchools___black_hispanic"
2021,"usa","k8_5to8th","cs_interested","allSchools","white_asian","0.0115","prob","usa___2021___k8_5to8th___cs_interested___allSchools___white_asian"
2021,"usa","k8_5to8th","cs_interested","allSchools","black","0.0051","prob","usa___2021___k8_5to8th___cs_interested___allSchools___black"
2021,"usa","k8_5to8th","cs_interested","allSchools","hispanic","0.0052","prob","usa___2021___k8_5to8th___cs_interested___allSchools___hispanic"
2021,"usa","k8_5to8th","cs_interested","allSchools","white","0.0054","prob","usa___2021___k8_5to8th___cs_interested___allSchools___white"
2021,"usa","k8_5to8th","cs_interested","allSchools","asian","0.0061","prob","usa___2021___k8_5to8th___cs_interested___allSchools___asian"
2021,"usa","hs","cs_interested","allSchools","all","0.0069","prob","usa___2021___hs___cs_interested___allSchools___all"
2021,"usa","hs","cs_interested","allSchools","black_hispanic","0.0135","prob","usa___2021___hs___cs_interested___allSchools___black_hispanic"
2021,"usa","hs","cs_interested","allSchools","white_asian","0.0149","prob","usa___2021___hs___cs_interested___allSchools___white_asian"
2021,"usa","hs","cs_interested","allSchools","black","0.0067","prob","usa___2021___hs___cs_interested___allSchools___black"
2021,"usa","hs","cs_interested","allSchools","hispanic","0.0068","prob","usa___2021___hs___cs_interested___allSchools___hispanic"
2021,"usa","hs","cs_interested","allSchools","white","0.007","prob","usa___2021___hs___cs_interested___allSchools___white"
2021,"usa","hs","cs_interested","allSchools","asian","0.0079","prob","usa___2021___hs___cs_interested___allSchools___asian"
2021,"usa","hs","cs_classOffered","allSchools","all","0.0078","prob","usa___2021___hs___cs_classOffered___allSchools___all"
2021,"usa","hs","cs_classOffered","allSchools","black_hispanic","0.0149","prob","usa___2021___hs___cs_classOffered___allSchools___black_hispanic"
2021,"usa","hs","cs_classOffered","allSchools","white_asian","0.0168","prob","usa___2021___hs___cs_classOffered___allSchools___white_asian"
2021,"usa","hs","cs_classOffered","allSchools","black","0.0073","prob","usa___2021___hs___cs_classOffered___allSchools___black"
2021,"usa","hs","cs_classOffered","allSchools","hispanic","0.0076","prob","usa___2021___hs___cs_classOffered___allSchools___hispanic"
2021,"usa","hs","cs_classOffered","allSchools","white","0.0079","prob","usa___2021___hs___cs_classOffered___allSchools___white"
2021,"usa","hs","cs_classOffered","allSchools","asian","0.0089","prob","usa___2021___hs___cs_classOffered___allSchools___asian"
2021,"college","col","t3_mellon_cs_enrol","allSchools","all","600","count","college___2021___col___t3_mellon_cs_enrol___allSchools___all"
2021,"college","col","t3_mellon_cs_enrol","allSchools","black_hispanic","71","count","college___2021___col___t3_mellon_cs_enrol___allSchools___black_hispanic"
2021,"college","col","t3_mellon_cs_enrol","allSchools","white_asian","529","count","college___2021___col___t3_mellon_cs_enrol___allSchools___white_asian"
2021,"college","col","t3_mellon_cs_enrol","allSchools","black","18","count","college___2021___col___t3_mellon_cs_enrol___allSchools___black"
2021,"college","col","t3_mellon_cs_enrol","allSchools","hispanic","53","count","college___2021___col___t3_mellon_cs_enrol___allSchools___hispanic"
2021,"college","col","t3_mellon_cs_enrol","allSchools","white","168","count","college___2021___col___t3_mellon_cs_enrol___allSchools___white"
