var_yr,var_scope,var_grade,var_key,var_schoolType,var_ethnic,population,var_type,metrics_new,estimated,notes
2017,city_chi,hs,math_advc_enroll,cps,all,31802,count,2017___city_chi___hs___math_advc___cps,,
2017,city_chi,hs,math_advc_enroll,cps,black_hispanic,26227,count,2017___city_chi___hs___math_advc___cps,,
2017,city_chi,hs,math_advc_enroll,cps,white_asian,5575,count,2017___city_chi___hs___math_advc___cps,,
2017,city_chi,hs,math_advc_enroll,cps,black,10952,count,2017___city_chi___hs___math_advc___cps,,
2017,city_chi,hs,math_advc_enroll,cps,hispanic,15275,count,2017___city_chi___hs___math_advc___cps,,
2017,city_chi,hs,math_advc_enroll,cps,white,3728,count,2017___city_chi___hs___math_advc___cps,,
2017,city_chi,hs,math_advc_enroll,cps,asian,1847,count,2017___city_chi___hs___math_advc___cps,,
2017,city_chi,hs_total,popul,cps,all,112989,count,2017___city_chi___hs_total___popul___cps,,
2017,city_chi,hs_total,popul,cps,black,45062,count,2017___city_chi___hs_total___popul___cps,,
2017,city_chi,hs_total,popul,cps,hispanic,53320,count,2017___city_chi___hs_total___popul___cps,,
2017,city_chi,hs_total,popul,cps,white,10045,count,2017___city_chi___hs_total___popul___cps,,
2017,city_chi,hs_total,popul,cps,asian,4562,count,2017___city_chi___hs_total___popul___cps,,
2017,city_chi,k8_8th,math_algebra_enrol,cps,all,5749,count,2017___city_chi___k8_8th___math_algebra_enrol___cps,,
2017,city_chi,k8_8th,math_algebra_enrol,cps,black_hispanic,3916,count,2017___city_chi___k8_8th___math_algebra_enrol___cps,,
2017,city_chi,k8_8th,math_algebra_enrol,cps,white_asian,1833,count,2017___city_chi___k8_8th___math_algebra_enrol___cps,,
2017,city_chi,k8_8th,math_algebra_enrol,cps,black,1138,count,2017___city_chi___k8_8th___math_algebra_enrol___cps,,
2017,city_chi,k8_8th,math_algebra_enrol,cps,hispanic,2778,count,2017___city_chi___k8_8th___math_algebra_enrol___cps,,
2017,city_chi,k8_8th,math_algebra_enrol,cps,white,1286,count,2017___city_chi___k8_8th___math_algebra_enrol___cps,,
2017,city_chi,k8_8th,math_algebra_enrol,cps,asian,547,count,2017___city_chi___k8_8th___math_algebra_enrol___cps,,
2017,city_chi,k8_8th,math_algebra_fail,cps,all,88,count,2017___city_chi___k8_8th___math_algebra_fail___cps,,
2017,city_chi,k8_8th,math_algebra_fail,cps,black_hispanic,84,count,2017___city_chi___k8_8th___math_algebra_fail___cps,,
2017,city_chi,k8_8th,math_algebra_fail,cps,white_asian,4,count,2017___city_chi___k8_8th___math_algebra_fail___cps,,
2017,city_chi,k8_8th,math_algebra_fail,cps,black,55,count,2017___city_chi___k8_8th___math_algebra_fail___cps,,
2017,city_chi,k8_8th,math_algebra_fail,cps,hispanic,29,count,2017___city_chi___k8_8th___math_algebra_fail___cps,,
2017,city_chi,k8_8th,math_algebra_fail,cps,white,4,count,2017___city_chi___k8_8th___math_algebra_fail___cps,,
2017,city_chi,k8_8th,math_algebra_fail,cps,asian,0,count,2017___city_chi___k8_8th___math_algebra_fail___cps,,
2017,usa,hs,math_advc_enroll,NA,black,310756,count,2017___usa___hs___math_advc_enroll,,
2017,usa,hs,math_advc_enroll,NA,hispanic,501960,count,2017___usa___hs___math_advc_enroll,,
2017,usa,hs,math_advc_enroll,NA,white,1234815,count,2017___usa___hs___math_advc_enroll,,
2017,usa,hs,math_advc_enroll,NA,asian,195852,count,2017___usa___hs___math_advc_enroll,,
2017,usa,k8_8th,math_algebra_enrol,NA,black,92736,count,2017___usa___k8_8th___math_algebra_enrol,,
